City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
306,Mayo,US,38.8876,-76.5119,81.21,67,75,3.0,broken clouds
307,Hearst,CA,49.6835,-83.6665,80.85,53,3,12.77,clear sky
308,Bukama,CD,-9.2,25.85,84.7,25,3,0.47,clear sky
309,Caravelas,BR,-17.7125,-39.2481,80.26,59,19,8.1,few clouds
310,Goshogawara,JP,40.8044,140.4414,58.39,91,75,3.49,broken clouds
311,Muzhi,RU,65.3667,64.6667,36.95,82,100,17.18,overcast clouds
312,Hagonoy,PH,14.8321,120.7336,80.65,88,98,6.13,overcast clouds
313,Raduzhnyy,RU,62.0961,77.475,35.33,69,98,13.94,overcast clouds
314,San Andres,CO,12.5847,-81.7006,87.82,74,40,10.36,scattered clouds
315,Pevek,RU,69.7008,170.3133,25.88,83,98,4.61,overcast clouds
316,Alekseyevsk,RU,57.8406,108.3492,49.05,76,35,3.71,scattered clouds
317,Hirara,JP,24.8,125.2833,83.28,77,8,7.38,clear sky
318,Zhigansk,RU,66.7697,123.3711,33.04,77,100,2.28,overcast clouds
319,Cabo San Lucas,MX,22.8909,-109.9124,85.14,87,75,16.11,broken clouds
320,Nagua,DO,19.3832,-69.8474,89.46,74,75,6.91,broken clouds
321,Krasnogorskoye,RU,52.2953,86.1979,44.38,55,100,10.69,overcast clouds
322,Lompoc,US,34.6391,-120.4579,81.93,66,1,0.0,smoke
323,Vostok,RU,46.4856,135.8833,48.54,54,100,4.72,overcast clouds
324,Gujrat,PK,32.5728,74.079,85.96,68,58,6.64,broken clouds
325,Naze,JP,28.3667,129.4833,73.71,81,0,3.31,clear sky
326,Naantali,FI,60.4674,22.0243,47.86,87,0,3.44,clear sky
327,Buraydah,SA,26.326,43.975,93.65,16,1,10.67,clear sky
328,Opuwo,NA,-18.0607,13.84,79.74,12,6,11.54,clear sky
329,Rondonopolis,BR,-16.4708,-54.6356,109.51,7,12,1.52,few clouds
330,Turcianske Teplice,SK,48.8623,18.8605,49.21,80,82,4.72,broken clouds
331,Huarmey,PE,-10.0681,-78.1522,67.82,68,15,11.07,few clouds
332,Misawa,JP,40.6836,141.3597,59.9,88,85,6.24,overcast clouds
333,Kysyl-Syr,RU,63.8986,122.7617,31.32,85,58,0.87,broken clouds
334,Qandala,SO,11.472,49.8728,87.58,70,38,4.9,scattered clouds
335,Geraldton,AU,-28.7667,114.6,64.81,48,0,11.5,clear sky
336,Yumen,CN,40.2833,97.2,68.95,17,0,5.77,clear sky
337,Nachingwea,TZ,-10.3833,38.7667,74.37,58,57,7.29,broken clouds
338,Inuvik,CA,68.3499,-133.7218,41.76,70,75,2.3,broken clouds
339,Constitucion,CL,-35.3333,-72.4167,59.38,53,0,14.18,clear sky
340,San,ML,13.3034,-4.8956,91.13,40,20,6.73,few clouds
341,Tura,IN,25.5198,90.2201,72.1,98,31,4.03,scattered clouds
342,Faya,SA,18.3851,42.4509,75.31,27,84,7.76,broken clouds
343,Quatre Cocos,MU,-20.2078,57.7625,69.91,72,73,17.67,broken clouds
344,Manokwari,ID,-0.8667,134.0833,77.31,81,100,1.59,overcast clouds
345,Nur,PL,52.6683,22.3221,41.79,90,100,7.29,overcast clouds
346,Port Hardy,CA,50.6996,-127.4199,51.98,93,90,14.97,light rain
347,Pathalgaon,IN,22.5667,83.4667,74.05,89,59,3.13,broken clouds
